,source_id,Teff_ms_med,Teff_ms_errp,Teff_ms_errm,R_ms_med,R_ms_errp,R_ms_errm,Teff_wd_med,Teff_wd_errp,Teff_wd_errm,R_wd_med,R_wd_errp,R_wd_errm,M_ms_fromR_med,M_wd_fromR_med,EBV_fixed,parallax,ztf_period_hr,reference,tau_cool,tau_cool_high,tau_cool_low,M_wd_fromR_errm,M_wd_fromR_errp,M_ms_fromR_errm,M_ms_fromR_errp,has_real_EBV,has_galex,ref_letter,P_RL_days,t_to_roche_RVJ_Gyr,t_to_roche_SAT_Gyr
17,3942794550553585920,2639.874773217392,10.641659619627715,10.23858845502582,0.1806397087874878,0.0017610842853304,0.0016179023989291,10078.627759987286,175.5570000679054,50.71664596751543,0.0042895995491101,4.3840896446013626e-05,4.9987066462424574e-05,0.160852061178127,,0.004208188525,22.170626,13.34294288,Brown23,2.4101181141902313,2.303397510417518,2.4409486198202353,,,0.0018155646829611516,0.0019762393790132837,True,False,(d),0.07136288201792534,87.45527087870292,26.588549170245194
18,4028597414327329664,2912.016356334359,16.966474177553664,14.83969790767651,0.2075069893696188,0.0022332635152776,0.0024124944890685,14557.377922913023,507.6674216771534,399.929702937452,0.0038061764257404,5.9461108015995256e-05,2.0868949184788335e-05,0.1909945663479777,,0.007420723485,21.792471,2.98776097,RebassaMansergas10,0.7612488842373505,0.6930082251530316,0.8204586153033285,,,0.002707233634791806,0.0025061056642029234,True,False,(h),0.08078889853807156,0.2641775549499878,1.6380547987085345
0,3612227169936143360,3096.698577873637,21.89043949007373,20.1982345580509,0.4265011173426831,0.0046554311001924,0.0064009083617047,13867.162782859772,294.539028821182,211.5806851225061,0.0129761116685542,0.0003142938893931,0.0006569454751625,0.4506177007556396,0.6264930207153584,0.01489400398,19.915201,3.618177709,Marsh00,0.2948407285871214,0.31346929476338503,0.30616375765926385,0.04356653689951606,0.01964336808706868,0.007295087814722989,0.005305774863843038,True,True,(a),0.149640280103954,0.0004763940003895881,0.013266011887349676
1,2273583445431091584,3020.090670869506,13.413337338178737,32.869198520716054,0.1785943631505725,0.0045755454210054,0.0018982434422713,11933.237910002012,125.34606150349646,180.8026472263955,0.0042302504388345,3.398578955055888e-05,2.0101019789100713e-05,0.158557380060461,1.298109347572839,0.008049667034,17.71081,3.425384082,,1.4309029797939863,1.374137830070911,1.5138937733833173,0.0012563137368188926,0.0021241118469099707,0.0021301555370284164,0.005134548707734582,True,True,--,0.07064206645789806,0.8930351479699077,2.8359304064926882
19,6043709891093265024,3089.5132230111512,19.16324137991569,22.605737239398877,0.2065056280744272,0.0036006395835702,0.0031675473624259,10585.912287982574,1486.328031957146,1185.3473059968455,0.0053091069120149,0.0009457033399385,0.0008892948146078,0.1898711352688652,,0.004708603995,16.497646,11.59586715,,2.1129600478436115,1.3679926654025394,2.847897358107996,,,0.0035545327867946563,0.0040405367272643156,True,False,--,0.08050158823658138,30.646716837205176,19.670650949302328
20,4083308322658549120,3203.156555757087,4.910819516765059,2.2863689464666095,0.3369363810835757,0.0022563265736686,0.0028274061963234,26041.27865398102,5070.417735938794,7422.877938641512,0.0051075434127222,0.0018773052659347,0.0009363627088156,0.3455337192363634,,0.01022873358,14.582844,4.964755643,,0.13072435324499515,0.058137270639817454,0.38469915503549346,,,0.0035583207768623004,0.0028396109964360927,True,False,--,0.1243941162494827,0.2039912501807324,2.325303747382794
21,1635581274974672768,3137.34981250643,52.05551607123425,68.12160920391852,0.2744536582827062,0.0236076097965568,0.0106118730524764,10734.386504124195,3835.179683673472,2636.007747503674,0.00813513345863,0.0063792302838574,0.002429763282226,0.2668654262543017,,0.008318332089,13.443894,2.78880242,,2.0300951193597325,0.7595520657881756,3.8837218449324786,,,0.012665524740225254,0.029710428073751738,True,False,--,0.10410801427872608,0.022179056321044926,0.3161809948573699
22,513958743252720768,2797.324833420247,34.35079048151783,39.61538646202007,0.1691507823517831,0.0048179952955347,0.0048137252608686,10244.1360785243,2287.623562428429,2775.5589283018335,0.0068032081397617,0.0055068793443223,0.0015395683445067,0.1479625905290363,,0.009214078842,11.093266,2.378027814,,2.309506075497132,1.1809117703055518,4.4782429310664345,,,0.0054018274420606915,0.005406619155170156,True,False,--,0.06748277396664945,0.23675631854474652,1.043344564071355
2,4333046892662353152,3033.402713734642,34.666937789977965,38.16450768409004,0.2710056282217199,0.0069309681106559,0.0060039578671166,17023.434366114183,265.084534251524,245.91352019978876,0.0160035017853235,0.0002988419188847,0.0003695411724943,0.2625242159662499,0.476788392872172,0.01060376334,11.037364,9.149154288,Bravo25,0.11220184543019653,0.10892222725619502,0.11220184543019653,0.014213122019011593,0.011493919957103804,0.007024551680494817,0.008722697100963794,True,True,(b),0.10089397166977042,2.2410272802567697,5.3892412674521815
3,4384149753578863744,2794.924892866938,6.025675132274046,26.464158815744668,0.26940310109511,0.0064620075695874,0.0022466650036018,7804.501292233078,880.768389751488,126.48954136666087,0.011563081983932,0.0001153646660402,0.0017441115856442,0.2605065690415213,0.7240655725762857,0.01203369026,10.801499,2.310977788,Brown22,1.7794356207049895,1.3607540998354455,1.9786823499770028,0.13268689423306423,0.008240333288585755,0.002589736583982205,0.00813250527108711,True,True,(c),0.1019701411563389,0.0,0.0
23,3662988495054111232,3234.8842826268115,26.86927665784151,23.960420336518837,0.1436233311381209,0.002078870449866,0.0020207364805293,12477.191086182256,498.00090860840464,417.408797592625,0.0072713021785966,0.0001135349853542,0.0001224449164376,0.1201952808238976,,0.005090792546,10.770238,2.927011063,Farihi05,1.2005170494928943,1.0498431144740914,1.3735986042418151,,,0.0019364098718391565,0.0022156382426203186,True,False,(i),0.0584288497700655,1.132277691909425,2.102274367333017
4,2155188926705745536,2845.585135832629,31.125478213784845,29.361252604030597,0.2115384311250314,0.00461648091536,0.0051236652509159,10118.977788992624,210.88998877904123,87.37181459651583,0.0100946920466134,0.0002437099589316,0.0002590078705983,0.1955174563212672,0.8337756627822145,0.009566682943,10.357256,21.20210297,,1.169805218042143,1.1615388428383502,1.232819742905346,0.021583989216524935,0.0203091632443001,0.005749633403742738,0.0051804853710827325,True,True,--,0.08236800135820689,157.5156932770747,34.68059965365388
24,4175890427231922560,2783.949554954888,13.664992634930512,18.355072669584388,0.2735858501641035,0.0040270718139854,0.0032943386045259,8053.405815430207,275.0774475729322,104.547610681253,0.0130520692065306,0.0001327293203578,0.0003104833404175,0.2657728204863998,,0.03200605966,9.827608,2.677126491,,1.1441843500453777,1.246513656952586,1.2589254117941662,,,0.004145960179951169,0.005068112719090134,True,False,--,0.10279974624509085,0.010619788130746672,0.15844277237280538
5,6916925365694417152,3005.1653670354094,12.009142187688669,12.277753337803006,0.2136260532102452,0.002146786472841,0.002007287749646,11241.22709219694,85.93325781222848,107.51674693015956,0.0113826469531789,8.442939823671836e-05,6.011661866453695e-05,0.1978595675484861,0.7369537890586435,0.007570152162,8.55515,13.87031638,Brown23,0.6419203582054329,0.6677173929149312,0.7802940717797245,0.004294044190324087,0.006030671302622692,0.0022525219996027412,0.002409063553233337,True,True,(d),0.08302019292582141,33.555946057018666,17.281751796626224
6,155649614856576,2801.9042993406547,33.67179447087028,110.76332659439232,0.2418406274063518,0.0202369705922128,0.00854567376627,7891.659930074007,153.94101887333,1019.715386163889,0.0123246078996915,0.00470816503036,0.0001731764285587,0.2295136065931711,0.6696708643077489,0.005709116613,8.298251,3.226498923,Silvestri07,1.2589254117941662,1.1814293656466484,1.7782794100389228,0.012369744897050006,0.23076329530946665,0.009589715357624262,0.022709360664564554,True,True,(e),0.0925014566318417,0.10388263648269934,0.9040227558266728
